  "id","user_id","video_id","current_like","current_dislike","current_view","liked","disliked","created_at","updated_at"
  "1","2603","6504","483000","12000","45901496","0","0","2020-12-02 21:47:13","2020-12-02 21:47:13"
  "2","2063","5166","42073","249","6051114","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "3","2063","679","48964","452","2236041","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "4","2063","5896","2773","561","1266743","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "5","2063","4861","2554","540","490352","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "6","2063","2893","19403","969","2707725","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "7","2063","300","44414","166","4067454","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "8","2063","422","75051","324","7552043","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "9","2063","158","66138","310","801864","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "10","2063","216","7099","550","4585418","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "11","2063","559","56006","695","1645134","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "12","2063","1662","82205","201","9345632","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "13","2063","6236","98239","939","1086193","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "14","2063","370","37517","850","3086272","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "15","2063","1169","28346","918","9321923","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "16","2063","6039","42249","479","7489672","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "17","2063","5221","96435","274","3028043","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "18","2063","3765","33181","275","3894008","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "19","2063","3919","67558","322","7481629","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "20","2063","1954","56227","329","3332385","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "21","2063","4517","12397","367","7559884","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "22","2063","3338","76109","847","7943439","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "23","2063","522","72190","476","717586","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "24","2063","4244","18376","389","4734793","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "25","2063","3420","48928","395","4028458","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
  "26","2063","594","83996","284","4267296","0","0","2020-12-05 23:53:24","2020-12-05 23:53:24"
